Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0797596776154861,0.159749232708683,0.220782525461507,0,0,0,0.809636545696576,0.00103089461973595,1.35681396229077E-10,-1.49365547296381E-08,0.00456020502866032,1.37219337455197E-19,0.00496170968770875,0,0,0,0,0,0,package://rover_version3/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover_version3/meshes/base_link.STL,,Body-1;Main Leg-4;Main Leg-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_sus_link,0.089130301794111,0.0366018675016563,-0.0147488994154441,0,0,0,0.0459031480468877,1.1461723176048E-05,-2.68406691396172E-07,1.63686839635996E-06,1.80050461034318E-05,-1.20786843415189E-06,1.75970503245523E-05,0,0,0,0,0,0,package://rover_version3/meshes/LF_sus_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover_version3/meshes/LF_sus_link.STL,,Connection Leg-4;Steering Connector-6;steering part-4,Origin_LF_sus_joint,Axis_LF_sus_joint,LF_sus_joint,revolute,0.16666,0.24388,0.20605,0,0.0073225,0,base_link,0,-1,0,10,0,0,0.1,,,,,,,,
LF_steer_link,0.00134753010259564,0.0219068824418223,-0.0833418115305963,0,0,0,0.0179263509098135,1.35851685717712E-05,-1.09983746723962E-07,1.42857893027883E-07,1.18047874893425E-05,2.32545470303457E-06,3.46928434336137E-06,0,0,0,0,0,0,package://rover_version3/meshes/LF_steer_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover_version3/meshes/LF_steer_link.STL,,Wheel Mount-3,Origin_LF_steer,Axis_LF_steer,LF_steer_joint,revolute,0.1104,0.062,0.016442,0,0.21866,0,LF_sus_link,0,0,-1,10,0,0,0.1,,,,,,,,
LF_wheel_link,0.000128860164909594,0.0250729972721997,0.00036393433755022,0,0,0,0.0268849728160635,1.75353631469335E-05,-1.10896528379914E-09,1.48697799203701E-07,2.65110723651584E-05,-3.11653729024746E-09,1.79018535265846E-05,0,0,0,0,0,0,package://rover_version3/meshes/LF_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover_version3/meshes/LF_wheel_link.STL,,Wheel-3,Origin_LF_wheel,Axis_LF_wheel,LF_wheel_joint,revolute,-0.0011763,-0.019116,-0.10825,0,-0.2264,-0.061459,LF_steer_link,0,-1,0,0,0,0,0,,,,,,,,
RF_sus_link,0.0902489832880631,-0.0016018657685111,-0.0039597393124956,0,0,0,0.0459031519107065,1.11589178190171E-05,1.21681623087089E-07,8.62915160690039E-07,1.80050456540428E-05,1.23133307205556E-06,1.78998560826054E-05,0,0,0,0,0,0,package://rover_version3/meshes/RF_sus_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover_version3/meshes/RF_sus_link.STL,,Connection Leg-1;Steering Connector-1;steering part-1,Origin_RF_sus,Axis_RF_sus,RF_sus_joint,revolute,0.16666,0.04062,0.20605,0,0,0,base_link,0,-1,0,10,0,0,0.1,,,,,,,,
RF_steer_link,-0.00104793735848838,-0.0219232562132083,-0.0833418115306279,0,0,0,0.0179263509098134,1.35878425466297E-05,-8.56071267405509E-08,-1.11055605351822E-07,1.18021135144838E-05,-2.32719028143076E-06,3.46928434336134E-06,0,0,0,0,0,0,package://rover_version3/meshes/RF_steer_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover_version3/meshes/RF_steer_link.STL,,Wheel Mount-1,Origin_RF_steer,Axis_RF_steer,RF_steer_joint,revolute,0.10763,-0.027,0.029557,0,0.098502,0,RF_sus_link,0,0,-1,10,0,0,0.1,,,,,,,,
RF_wheel_link,0.000295740339524175,-0.0250729973917038,-0.000248174677657836,0,0,0,0.0268849728217625,1.77598239457965E-05,2.53724039131848E-09,-2.32359905280223E-07,2.6511072421314E-05,-2.12231215519111E-09,1.76773927751476E-05,0,0,0,0,0,0,package://rover_version3/meshes/RF_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover_version3/meshes/RF_wheel_link.STL,,Wheel-1,Origin_RF_wheel,Axis_RF_wheel,RF_wheel_joint,revolute,0.00091489,0.01913,-0.10825,0,-0.098614,-0.047789,RF_steer_link,0,1,0,0,0,0,0,,,,,,,,
LH_sus_link,-0.0897096627634609,0.0366018653962163,0.0106176683691153,0,0,0,0.0459031526649765,1.10593915749623E-05,-7.80907440373878E-08,2.52617515382323E-07,1.80050455136856E-05,-1.23486411965248E-06,1.79993823530536E-05,0,0,0,0,0,0,package://rover_version3/meshes/LH_sus_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover_version3/meshes/LH_sus_link.STL,,Connection Leg-5;Steering Connector-7;steering part-5,Origin_LH_sus_joint,Axis_LH_sus_joint,LH_sus_joint,revolute,-0.0074481,0.24388,0.20605,0,-0.051859,0,base_link,0,-1,0,10,0,0,0.1,,,,,,,,
LH_steer_link,0.00314887201868978,0.0217212324859138,-0.0833418115306286,0,0,0,0.0179263509098134,1.35549978282775E-05,-2.54757868846835E-07,3.34074184238735E-07,1.18349582328361E-05,2.30576286571084E-06,3.46928434336134E-06,0,0,0,0,0,0,package://rover_version3/meshes/LH_steer_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover_version3/meshes/LH_steer_link.STL,,Wheel Mount-4,Origin_LH_steer,Axis_LH_steer,LH_steer_joint,revolute,-0.10147,0.062,0.046495,0,0.063154,0,LH_sus_link,0,0,-1,10,0,0,0.1,,,,,,,,
LH_wheel_link,0.00020925631318458,0.0250729952229727,-0.000324445436222232,0,0,0,0.0268849717516755,1.76210396593133E-05,-1.78846958383675E-09,-2.14872751644477E-07,2.65110708659707E-05,2.78231532272225E-09,1.78161754809893E-05,0,0,0,0,0,0,package://rover_version3/meshes/LH_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover_version3/meshes/LH_wheel_link.STL,,Wheel-4,Origin_LH_wheel,Axis_LH_wheel,LH_wheel_joint,revolute,-0.0027481,-0.018954,-0.10825,0,-0.011413,-0.14399,LH_steer_link,0,-1,0,0,0,0,0,,,,,,,,
